;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
129;2.97;2.5;0.71;0.83;0.0;0.0;0.0;0.262035234520833
130;3.08;0.31;1.22;1.56;1.56;0.0;2.19;0.26153197471117
131;3.09;0.0;1.05;1.14;0.0;0.0;4.18;0.315910068633673
132;3.02;0.57;1.04;1.42;0.0;0.0;2.85;0.310917610988805
133;3.24;0.0;1.28;2.17;0.0;0.0;9.61;0.228999510877304
134;3.09;0.4;0.71;0.79;0.0;0.0;6.35;0.282250202645858
135;3.31;0.0;0.6;1.5;0.0;0.0;6.5;0.31750922363538
136;3.04;0.49;1.04;0.0;0.0;0.0;0.49;0.325440432503819
137;3.46;0.0;0.0;0.0;0.0;0.0;14.29;0.185908641782589
138;4.21;7.14;1.69;0.0;0.0;0.0;7.14;0.443630554057934
139;3.29;1.79;1.83;0.0;0.77;0.26;1.02;0.429120062888585
140;3.08;5.17;1.55;0.21;0.81;1.04;3.53;0.247180094411139
141;3.18;1.14;1.62;0.76;1.56;0.0;2.3;0.38503182522681
142;3.0;2.34;0.86;0.47;5.08;0.0;1.87;0.303246049225823
143;3.06;0.0;1.17;0.0;0.0;0.0;0.89;0.283050699546786
144;2.78;0.0;1.1;0.0;0.0;0.0;0.44;0.287718480009408
145;2.73;0.0;1.16;0.53;0.0;0.0;0.53;0.299698732524033
146;2.9;0.31;1.19;0.31;1.69;0.63;1.89;0.290253402117421
147;3.03;0.0;0.8;0.0;0.0;0.0;1.94;0.316003499002684
148;2.84;0.79;1.06;0.0;1.43;0.0;1.05;0.317377559118596
149;2.97;0.0;1.38;0.0;0.0;0.0;1.43;0.318222849474599
150;2.95;2.52;1.18;0.0;0.0;2.81;0.84;0.288060916215181
151;3.04;0.0;1.19;0.0;0.0;0.0;1.2;0.31959315221552
152;3.13;0.0;1.34;0.3;0.0;0.0;0.0;0.309006346888106
153;2.88;0.32;0.62;0.32;0.0;0.0;0.65;0.312275636745917
154;2.83;0.35;0.68;0.0;0.0;0.35;2.8;0.275046447946873
155;3.0;0.71;1.0;0.35;0.0;0.0;0.35;0.294364073320671
156;3.11;1.65;1.02;0.0;2.74;0.0;0.28;0.356461158913115
157;3.05;0.48;1.03;0.0;0.0;0.0;0.97;0.34345632713909
158;2.99;0.93;1.3;0.31;0.0;0.0;0.0;0.324215087753076
159;2.93;0.48;1.23;0.48;0.0;0.0;1.91;0.325391939282417
160;2.97;0.0;0.79;0.0;4.0;0.0;1.75;0.28355313711349
161;3.06;0.43;0.92;0.0;0.0;0.0;0.87;0.265139466724717
162;2.88;0.0;0.84;0.0;0.0;0.0;0.0;0.307578492303227
163;2.95;0.45;0.69;0.0;0.0;0.45;0.91;0.312658385785877
164;3.07;0.3;0.88;0.3;1.22;0.0;0.3;0.30878626180522
165;2.98;0.53;0.85;0.0;1.64;0.53;2.67;0.297623032291011
166;3.0;0.0;0.61;0.81;0.0;1.21;4.05;0.277678230385247
167;2.91;0.28;1.15;0.28;0.0;0.28;2.78;0.256348104930894
168;2.99;1.31;0.66;0.44;9.8;0.0;1.32;0.251987435756937
169;2.83;0.79;1.32;0.0;0.0;0.0;0.0;0.285773597679339
170;3.1;0.97;1.09;0.0;0.0;0.0;1.45;0.261313445720967
171;3.2;0.0;1.12;0.0;4.48;0.0;1.43;0.315712533391162
172;2.95;1.49;1.6;0.0;1.12;0.25;0.99;0.329409484953984
173;3.2;0.0;0.95;0.0;0.0;0.0;0.43;0.299868985737136
174;3.18;0.57;1.62;0.0;0.0;3.45;0.29;0.39247013163795
175;2.99;0.58;1.64;0.0;0.0;0.0;0.58;0.458612584656683
176;2.92;1.93;1.19;0.0;0.0;0.0;0.0;0.334844415582071
177;3.08;0.85;0.92;0.56;2.35;0.0;0.85;0.351825584995223
178;2.99;3.79;1.04;0.0;0.0;0.0;1.89;0.272354889640492
179;3.04;0.0;0.62;0.27;0.0;0.54;3.78;0.258862614557885
180;2.97;1.47;0.99;0.29;0.0;0.0;4.41;0.24963360105242
181;3.14;2.58;0.58;0.0;3.13;0.0;1.55;0.260036859191766
182;3.04;0.0;0.76;0.0;0.0;0.0;4.15;0.265619978174433
183;3.08;0.0;1.11;0.0;0.0;0.0;0.0;0.284203081749953
184;3.02;1.75;1.55;0.58;0.0;0.0;1.17;0.260198626087772
185;3.1;5.33;1.0;0.0;0.0;0.0;0.89;0.258699343384554
186;3.65;0.0;1.19;0.0;0.0;0.0;0.0;0.332908621407705
187;4.05;1.08;1.9;0.0;0.82;0.0;0.0;0.315009033337968
188;3.34;0.59;1.42;0.0;0.0;1.18;1.48;0.303182204604149
189;3.29;2.79;1.08;0.62;0.97;0.0;0.93;0.234786205021947
190;2.67;0.0;0.0;0.0;0.0;0.0;0.0;0.35465402788337
191;3.49;5.23;1.61;0.0;1.1;0.0;0.13;0.324439327904983
192;3.15;0.0;0.76;2.39;0.0;0.48;5.74;0.23870389316733
193;3.08;0.42;0.83;0.42;0.0;8.05;2.97;0.363913380781586
194;3.12;2.8;1.64;0.0;0.0;0.0;4.2;0.300570431011064
195;2.85;1.06;1.59;2.65;0.0;0.0;5.91;0.217074546019939
196;2.65;0.0;1.21;1.38;2.63;0.0;1.38;0.212523533497006
197;2.48;0.35;0.91;1.39;0.0;0.0;1.04;0.259074643490806
198;2.73;0.26;1.38;2.07;1.69;0.0;1.3;0.266146069206297
199;2.54;2.88;0.74;0.58;0.0;0.0;1.73;0.23749514309208
200;2.7;0.0;0.82;1.47;0.0;0.0;0.29;0.252995432127972
201;2.42;7.89;1.0;0.28;0.0;0.28;1.99;0.381648063785099
202;2.46;2.38;1.13;0.79;0.0;0.0;0.0;0.363984526477638
203;2.66;0.54;1.38;1.09;0.0;0.54;2.45;0.285404873958656
204;2.63;0.0;0.57;1.2;3.13;0.0;3.61;0.254594742521351
205;3.56;3.7;1.04;7.41;0.0;0.0;59.26;0.30695696775133
206;2.69;8.36;1.04;0.67;2.22;0.67;0.67;0.286242568858171
207;3.0;2.61;1.65;4.07;0.0;0.0;12.05;0.301763085091934
208;2.81;0.99;1.45;1.58;1.02;0.0;1.98;0.274155760520922
209;3.13;0.72;1.08;0.24;3.03;0.0;0.72;0.351644527502161
210;3.01;2.06;1.23;0.0;0.0;0.0;1.47;0.327739561818264
211;2.89;0.3;0.94;0.3;0.0;1.52;2.42;0.332562238682766
212;2.95;0.61;0.78;0.31;0.0;1.22;2.45;0.311544176729428
213;3.04;0.0;1.46;2.22;0.0;0.0;3.33;0.335000829884049
214;3.13;0.18;1.83;2.73;0.0;0.0;11.27;0.28775917022951
215;3.36;1.17;0.83;4.44;0.0;0.0;16.59;0.275772988052758
216;3.45;0.5;1.09;4.0;1.56;0.0;8.0;0.200170975421963
217;3.02;0.65;1.11;1.45;0.98;0.16;11.53;0.213570818344194
218;2.82;0.0;0.78;0.0;0.0;0.0;0.0;0.196485811471939
219;2.52;1.49;1.27;0.0;0.0;0.0;0.0;0.18267185613513
220;2.53;0.36;1.01;0.0;2.38;0.36;1.09;0.376599451982313
221;2.63;0.62;1.29;0.31;0.0;0.0;1.23;0.370608647350585
222;3.05;3.49;0.95;0.0;3.57;0.0;0.0;0.382041769214423
223;2.95;2.63;1.34;0.0;0.0;0.0;0.0;0.380091014628609
224;2.82;0.6;1.17;0.3;1.72;0.3;0.9;0.331556925563504
225;3.14;1.23;0.98;0.31;0.0;0.0;0.92;0.305806661500792
226;3.08;0.25;1.21;0.25;0.0;0.0;1.25;0.238995178885359
227;3.22;0.0;0.87;0.8;0.0;0.0;0.0;0.494014448408158
228;3.13;0.0;1.17;0.25;0.0;0.74;1.47;0.260422592397247
229;3.32;0.37;1.4;0.37;1.41;0.0;1.12;0.325057845932758
230;3.02;0.75;0.78;0.0;1.2;0.0;1.99;0.272282379777192
231;3.16;2.75;1.19;0.0;2.86;0.0;1.03;0.300076330575762
232;3.17;0.86;1.19;0.22;2.75;0.22;0.87;0.269285685817401
233;3.2;0.0;1.25;0.0;1.56;0.0;0.0;0.33602662114372
234;3.37;0.33;1.33;0.0;0.0;0.67;0.67;0.254284874409437
235;3.01;0.0;0.99;0.0;0.0;0.0;1.69;0.224128098914605
236;2.92;0.0;0.83;0.37;0.0;0.37;0.37;0.3060576320906
237;3.14;5.81;1.39;0.29;0.0;0.0;0.29;0.375354804938108
238;3.21;0.95;1.33;0.0;1.85;0.0;0.48;0.32328196774038
239;2.97;0.34;1.37;0.0;1.72;0.0;0.0;0.310378452584352
240;3.23;2.07;1.15;0.0;2.56;0.0;0.3;0.282631312727655
241;3.08;0.62;1.06;0.62;1.33;0.31;0.0;0.267116629433903
242;3.14;2.05;1.12;0.0;1.41;0.0;0.29;0.255672463146901
243;3.39;9.42;1.85;0.0;0.0;0.0;0.0;0.240996250474947
244;3.28;0.0;1.52;0.0;0.0;0.0;0.83;0.303714313193646
245;3.2;0.88;1.34;0.0;1.22;0.0;0.0;0.292612560406213
246;3.12;0.0;2.04;0.76;0.0;0.25;0.76;0.206996988442103
247;3.25;1.2;1.2;0.6;1.09;0.0;1.21;0.270231097738702
248;3.24;0.38;1.63;0.75;0.0;0.38;1.89;0.281310138605178
249;2.76;0.31;0.8;0.0;0.0;0.0;0.94;0.255295908374361
250;3.26;3.06;1.49;0.0;3.0;0.0;0.83;0.256424545610864
251;3.35;0.68;1.14;0.0;0.58;0.0;0.0;0.25595876713347
252;3.53;0.55;1.72;0.0;2.13;0.18;0.0;0.346236782070117
253;3.53;13.58;1.31;0.33;0.0;0.0;0.33;0.330953083152102
254;3.05;0.0;0.76;0.33;0.0;0.0;0.0;0.251870028455468
255;3.22;0.0;1.08;0.5;0.0;0.0;0.5;0.325362544178963
256;3.17;0.0;1.15;0.91;0.0;0.0;0.0;0.415401318101656
257;3.27;0.92;1.37;0.0;0.0;0.0;0.31;0.338867841909329
258;3.27;0.0;0.94;0.0;3.23;0.0;1.67;0.205005916582449
259;3.12;1.06;1.06;1.06;0.0;0.0;5.31;0.223057670176296
260;3.29;0.25;1.47;0.5;0.99;0.0;4.23;0.212660502044941
261;3.19;6.79;1.07;0.0;2.13;0.0;4.92;0.261450816411525
262;3.05;1.69;1.04;0.0;0.0;0.0;1.27;0.321658539683072
