Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
412625605000013;3.28;4.57;41.55;1.46;22.36;0.24;59.62;1.54;7.21;0;0;1.92;100;34.38;0.34241456019603
412625605000014;3.16;4.91;41.6;1.34;20.98;0;62.95;0;6.25;0.45;0;2.23;100;40.18;0.303271947900454
412625605000015;3.11;4.18;41.75;1.16;27.58;0;53.48;0.96;9.75;0;0;4.18;99.72;39.83;0.278007063996139
412625605000016;3.03;1.95;40.45;1.55;6.82;0;73.05;2.25;12.34;0;0;2.27;100;35.06;0.425750437986604
412625605000017;3.06;4.61;42.27;1.24;19.08;0.33;50.66;0;9.54;0;1.32;8.88;100;44.74;0.212429506525321
412625605000018;2.99;1.24;38.35;1.24;7.94;0.25;52.61;0;3.23;0.25;0.99;5.71;100;39.95;0.288704088946082
412625605000019;3.04;0.39;47.7;1.3;7.87;0.39;57.48;0;4.72;0;0;4.33;100;38.98;0.298678068315675
412625605000020;3.2;0.21;41.15;1.36;11.23;0.42;59.67;0.71;6.44;0;0.21;1.88;100;34.38;0.26101873326319
412625605000021;3.06;0.45;37.57;1.4;3.71;0.15;63.65;1.16;7.42;0.15;0;1.63;100;33.68;0.266238848842708
412625605000022;3.18;1.9;44.73;1.5;11.43;0;66.03;2.33;10.79;0;0.63;1.59;100;39.68;0.287543679247884
412625605000023;3.24;1.47;39.92;1.37;13.02;0;69.78;0;6.39;0.25;0;1.72;99.75;23.83;0.298359096143395
412625605000024;3.37;1.45;46.94;1.72;5.33;0;72.54;2.87;9.69;0;0.48;2.42;100;34.25;0.263035991868843
412625605000025;3.49;1.28;53.96;1.53;5.13;0;70.51;3.77;5.56;0.43;0.43;3.42;97.44;20.94;0.401300253264741
412625605000026;3.24;4.57;45.81;1.47;17.4;0;71;0;8.61;0;0.35;4.39;98.95;27.94;0.391405579710273
412625605000027;3.09;1.31;41.86;1.53;24.41;0.26;44.88;1.12;2.62;0;0.79;2.37;100;40.53;0.258715353310108
412625605000028;2.99;0.85;33.27;0.82;6.84;0;55.34;1.92;4.7;0;0.21;2.36;93.79;46.25;0.293771826870301
412625605000029;2.9;0.95;40.55;0.95;17.1;0;49.64;0.89;6.41;0;0.72;1.92;100;48.56;0.309662312729123
412625605000030;3.06;0.95;38.39;1.4;9.26;0;46.08;0;4.28;0;0.48;3.33;99.76;29.29;0.288476166553482
412625605000031;3.21;0.83;42.91;1.69;5.82;0;71.75;1.74;7.48;0;0;1.67;100;33.33;0.301624819241612
412625605000032;3.22;0.9;44.15;1.35;19.22;0;58.56;0.88;8.11;0.3;0;3.9;99.7;33.33;0.465905260944844
412625605000033;3.3;3.05;47.22;2.06;14.54;0;68.7;4.62;11.77;0.14;0.28;2.36;98.75;31.71;0.333169551372301
412625605000034;3.29;0.38;47.84;1.81;8.08;0;73.08;0;15.38;0;0;2.69;100;35.38;0.291061314849221
412625605000035;3.23;2.2;41.6;1.48;7.32;0;66.83;1.57;8.78;0;0;0.98;99.51;32.03;0.282082356853423
412625605000036;3.23;0.88;46.1;1.42;6.85;0;76.63;1.13;11.78;0;0.35;1.41;100;37.68;0.301753157049629
412625605000037;3.26;1.66;44.98;2.13;8.32;0;73.38;0.63;10.17;0;0;0.37;99.81;29;0.248937324825051
412625605000038;3.41;1.46;47.07;1.76;9.79;0;72.49;1.46;9.52;0.13;0;0.53;90.32;22.41;0.309761802327854
412625605000040;2.94;1.15;40.38;1.08;10.34;0;54.02;0;6.9;0;0.58;0;7.51;42.2;0.319684213700415
412625605000041;3.04;10.14;41.9;1.68;33.64;0;53.46;0;9.22;0.47;0;0.93;96.28;40.93;0.257383014358904
412625605000042;2.99;1.73;41.68;1.59;5.19;0;59.74;0;11.26;0.43;0;0;22.08;40.26;0.263089527740427
412625605000043;3.16;0.38;40.78;1.15;6.9;0.38;55.17;0;7.66;0;0;0.77;61.54;42.31;0.308010524171486
412625605000044;3.19;1.71;36.67;1.07;11.43;0;62.29;0;6.86;0;0.57;8;100;36.57;0.29104870378253
412625605000045;3.01;0.35;36.12;1.04;4.88;0;69.69;0;6.62;1.39;0;0.7;100;36.93;0.283351565400759
412625605000046;3.18;0.79;40.02;0.86;12.83;0;58.38;0;7.07;0;0.52;3.4;100;38.48;0.282063480205597
412625605000047;3.31;0.8;50.73;1.45;35.2;0;56.8;1.67;8.8;0;0;2.42;99.19;28.23;0.412716401055687
412625605000048;3.35;1.53;45.78;1.75;9.18;0;70.66;0;11.22;0.26;0;2.3;98.98;27.81;0.365212844114083
412625605000049;3.36;3.07;44.31;1.8;14.89;0;70.45;2.99;9.22;0;0.47;4.02;99.29;33.1;0.347778290855569
412625605000050;3.22;1.5;40.42;1.58;16.77;0;68.86;1.98;5.39;0;0;1.8;100;31.74;0.340079023856525
412625605000052;2.97;0.63;40.24;0.63;1.25;0;73.75;0;13.75;0;1.27;3.8;100;32.91;0.299925017644439
412625605000053;3.1;0;38.35;1.14;5.88;0;59.22;1.75;5.88;0;0;3.14;100;36.08;0.252614539961532
412625605000054;3.03;1.3;38.04;0.75;2.93;0.33;62.87;0;4.89;0;0.33;5.56;100;38.24;0.293976961190884
412625605000055;3.11;1.32;41.45;1.35;33.04;0;52.42;1.39;7.93;0.44;0;3.56;100;37.78;0.290525394754532
412625605000056;3.2;1.85;51.31;1.73;15.12;0;76.54;2.13;12.04;0.62;0;2.16;99.69;24.69;0.331867711246014
412625605000057;3.53;2.27;54.69;2.17;8.09;0.32;79.94;2.4;15.21;0.66;0;1.97;98.69;22.62;0.410072076143829
412625605000058;3.11;0.41;38.17;0.93;4.55;0;65.7;1.85;6.61;0;0;1.24;100;42.15;0.294588227051398
412625605000059;3.1;1.65;40.63;1.71;9.57;0.66;59.41;0;6.6;0;0;3.3;100;37.62;0.259238763666544
412625605000060;3.29;2.92;49.65;1.85;19.04;0;65.69;0.51;11.66;0;0;1.89;99.83;27.79;0.344823674784614
412625605000061;3.26;0.71;38.13;1.24;12.8;0;67.06;1.65;12.56;0;0;2.85;100;30.4;0.349178988933563
412625605000062;2.99;1.25;42.69;1.21;3.74;0;76.06;0;7.23;0;0;3.76;100;37.84;0.331054972908036
412625605000063;3.27;0.55;50.06;1.92;4.1;0;72.68;0;9.56;0;0;0.82;100;25.41;0.323189885488578
412625605000064;3.42;2.56;53.78;1.88;9.4;0;81.77;3.25;9.4;0;0;1.43;99.71;28.86;0.427181913646099
412625605000065;3.35;1.78;48.57;1.81;6.31;0;65.7;3.83;7.12;0;0.16;2.6;100;21.1;0.349617005108469
412625605000066;3.24;0.48;35.83;1.27;6.52;0.24;68.12;0.94;5.07;0;0.24;3.38;100;31.4;0.326977043913387
412625605000067;3.2;0.9;39.22;1.31;5.67;0;69.25;3.19;7.16;0;0;6.57;99.1;26.57;0.423742697691638
412625605000068;3.22;1.01;44.07;1.38;15.98;0.1;62.89;1.48;8.9;0.1;0.1;3.14;98.18;26.72;0.33336511259443
412625605000069;3.33;7.18;50.91;2.29;29.6;0;57.47;1.57;8.91;0.29;0;1.44;100;28.16;0.330927000221397
412625605000070;3.24;1.16;56.58;2.23;6.28;0.23;81.63;2.38;14.65;0;0.23;4.42;100;29.53;0.431454905516961
