Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005210011;3.46;0;46.97;0;7.14;0;17.86;0;3.57;0;14.29;96.43;100;35.71;0.185908641782589
411520005210012;4.21;7.14;37.21;1.69;14.29;0;57.14;0;0;0;7.14;92.86;100;57.14;0.443630554057934
411520005210014;3.29;1.79;51.18;1.83;19.69;0;57.54;0.77;5.37;0.26;1.02;93.35;99.74;47.31;0.429120062888585
411520005210015;3.08;5.17;44.89;1.55;15.91;0.21;42.77;0.81;5.99;1.04;3.53;54.15;88.8;48.34;0.247180094411139
411520005220001;3.18;1.14;36.22;1.62;5.7;0.76;50.95;1.56;4.18;0;2.3;1.92;96.93;19.92;0.38503182522681
411520005230001;3;2.34;37.47;0.86;12.15;0.47;58.41;5.08;1.87;0;1.87;100;100;63.08;0.303246049225823
411520005230002;3.06;0;41.24;1.17;1.34;0;62.05;0;3.13;0;0.89;94.64;100;54.02;0.283050699546786
411520005230003;2.78;0;43.12;1.1;15.35;0;62.72;0;6.58;0;0.44;96.93;99.56;49.56;0.287718480009408
411520005230004;2.73;0;42.94;1.16;5.82;0.53;62.43;0;6.88;0;0.53;100;98.41;57.67;0.299698732524033
411520005230005;2.9;0.31;40.06;1.19;8.46;0.31;46.08;1.69;3.13;0.63;1.89;96.54;99.69;58.49;0.290253402117421
411520005230006;3.03;0;39.29;0.8;2.43;0;40.29;0;3.4;0;1.94;100;99.51;61.65;0.316003499002684
411520005230007;2.84;0.79;41.81;1.06;8.4;0;54.07;1.43;3.67;0;1.05;99.48;100;58.27;0.317377559118596
411520005230008;2.97;0;39.2;1.38;2.14;0;55;0;1.43;0;1.43;96.79;100;56.79;0.318222849474599
411520005230009;2.95;2.52;41.96;1.18;10.92;0;52.94;0;2.24;2.81;0.84;99.16;100;53.37;0.288060916215181
411520005230010;3.04;0;40.91;1.19;3.61;0;50.48;0;3.85;0;1.2;95.43;100;54.57;0.31959315221552
411520005230011;3.13;0;47.47;1.34;4.79;0.3;58.08;0;4.19;0;0;98.5;100;49.1;0.309006346888106
411520005230012;2.88;0.32;39.47;0.62;5.48;0.32;51.61;0;6.77;0;0.65;97.42;100;37.74;0.312275636745917
411520005230013;2.83;0.35;47.54;0.68;2.45;0;41.96;0;2.8;0.35;2.8;98.25;100;50;0.275046447946873
411520005230014;3;0.71;47.22;1;2.12;0.35;50.88;0;3.89;0;0.35;98.94;100;51.94;0.294364073320671
411520005240001;3.11;1.65;39.14;1.02;9.92;0;57.58;2.74;6.34;0;0.28;94.17;99.72;51.94;0.356461158913115
411520005240002;3.05;0.48;39.6;1.03;1.45;0;56.52;0;0.48;0;0.97;100;100;53.88;0.34345632713909
411520005240003;2.99;0.93;39.16;1.3;3.73;0.31;53.73;0;4.97;0;0;97.52;99.69;53.42;0.324215087753076
