Census tract;EN1;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005070007;0.168431572656157;0.574545454545455;0.882911392405063;0.767008639308855;0.651234567901235;0.733348334833483;0.0710445468509985;0.866216216216216;1;0.9704;1;0.0624367195410057;1;0.744645282624595;0.502489419965148;0.0869640044882593
411520005070008;0.22418246858768;0.723636363636363;0.517405063291139;0.930885529157667;0.768518518518518;0.213771377137714;0.0257296466973886;0.78004158004158;1;0.9668;0.91001799640072;0.0168747890651367;0.9817;0.99477588548741;0.111401543440378;0.219076526981313
411520005070009;0.230377706870133;0.803636363636364;0.265822784810127;1;0.941358024691358;0.544329432943294;0.0679723502304147;0.671101871101871;1;0.9796;1;0.00860614242321971;0.9873;0.862501306028628;0.0698282300224048;0.233757341401689
411520005070010;0.220484321312297;0.552727272727273;0.594409282700422;0.821544276457883;0.743827160493827;0.75967596759676;0.0821812596006145;0.690748440748441;1;0.9572;1;0.0793115086061424;1;0.866053703897189;0.305825242718447;0.210313052297394
411520005070011;0.255860254671928;0.534545454545454;0.942510548523207;0.713282937365011;0.796296296296296;0.893564356435643;0.097926267281106;0.79002079002079;1;1;1;0.0742490718866014;1;0.992372792811618;0.444485934777197;0.294143163250722
411520005070012;0.233307206934249;0.52;0.97837552742616;0.693169546436285;0.774691358024691;0.898964896489649;0.125576036866359;0.890956340956341;1;1;1;0.0205872426594668;1;0.565040225681747;0.569828230022405;0.240699357967473
411520005070013;0.232686523208045;0.512727272727273;1;0.748515118790497;0.867283950617284;0.952520252025203;0.17357910906298;0.823492723492723;1;0.976;0.982003599280144;0.0305433682078974;0.991;0.600355239786856;0.538586009459796;0.239228527923057
411520005070014;0.212341002359682;0.487272727272727;1;0.678185745140389;0.777777777777778;0.886363636363636;0.302995391705069;0.875571725571726;1;0.9748;1;0.239622004724941;0.9937;0.739630132692509;0.676001991535972;0.191015884237228
411520005070015;0.256679188596071;0.538181818181818;0.965717299578059;0.678185745140389;0.771604938271605;0.904365436543654;0.137864823348694;0.747401247401248;0.785446361590398;0.9216;0.980203959208158;0.105467431657104;0.9967;0.735346358792185;0.48033358227533;0.296083785453575
411520005070016;0.250412322690382;0.501818181818182;0.925632911392405;0.705588552915767;0.682098765432099;0.827632763276328;0.100614439324117;0.802702702702703;1;0.8628;1;0.0305433682078974;0.9335;0.860934071674851;0.527757032611402;0.281233235536975
411520005070017;0.271117637193564;0.749090909090909;0.689345991561181;0.844357451403888;0.808641975308642;0.513726372637264;0.0138248847926267;0.696049896049896;1;0.9356;0.603479304139172;0.0180560242996963;0.9339;0.985059032493992;0.0770475479213343;0.330298479822685
411520005070018;0.28745052199085;0.756363636363636;0.342299578059072;0.915091792656587;0.922839506172839;0.486723672367237;0.01036866359447;0.70031185031185;1;0.9468;0.98380323935213;0.0268309146135673;0.992;0.958416048479783;0.0995767986059248;0.369002406891556
411520005070019;0.239789279685779;0.654545454545454;0.565928270042194;0.922651187904968;0.938271604938272;0.686768676867687;0;0.694074844074844;1;1;1;0.00539993250084374;0.9937;0.864486469543412;0.253422952452079;0.256059882096806
411520005070020;0.229262662160656;0.72;0.493670886075949;0.960043196544276;0.82716049382716;0.694644464446445;0.0641321044546851;0.692307692307692;1;0.9916;1;0.0246371920350996;0.9875;0.821126319088914;0.203136669156087;0.231115027465739
411520005070021;0.264789559249955;0.421818181818182;0.746835443037975;0.585988120950324;0.808641975308642;0.646264626462646;0.0168970814132104;0.581081081081081;1;0.8776;1;0.0744178197772528;1;1;0.423076923076923;0.315302876152213
411520005070022;0.26472070609683;0.494545454545454;0.92668776371308;0.623785097192225;0.623456790123457;0.835958595859586;0.0533794162826421;0.591891891891892;1;0.8748;1;0.0820114748565643;1;1;0.406273338312173;0.315139715299119
411520005070023;0.236784060218682;0.421818181818182;0.936181434599156;0.66414686825054;0.802469135802469;0.918091809180918;0.104838709677419;0.831600831600832;1;0.988;1;0.21481606479919;1;0.88287535262773;0.580781677869056;0.248938433771903
411520005070024;0.237869941768013;0.443636363636364;1;0.639443844492441;0.694444444444444;0.884788478847885;0.0303379416282642;0.585239085239085;1;0.9056;1;0.0465744178197773;0.9843;0.987671089750287;0.375653472740851;0.251511639963728
411520005070025;0.425677505778995;0.712727272727273;0;0.956803455723542;0.771604938271605;0.0882088208820881;0;0.765176715176715;1;0.9704;1;0.00624367195410057;0.974;0.984432138752482;0.107169529499627;0.69655795913395
411520005070026;0.364907122471116;0.490909090909091;0.368670886075949;0.919951403887689;0.904320987654321;0.96039603960396;0.0134408602150538;0.523388773388773;0;0.972;1;0.0118123523455957;1;0.220039703270296;0.173761513567339;0.55255079122162
411520005070027;0.266627848148346;0.618181818181818;0.594409282700422;0.92238120950324;0.799382716049383;0.892889288928893;0.0564516129032258;0.571205821205821;1;0.9708;1;0.0617617279784003;0.9963;0.915787274057047;0.225665919840677;0.319659056970109
411520005070028;0.231645770072672;0.418181818181818;0.936708860759494;0.65280777537797;0.737654320987654;0.864986498649865;0.0153609831029186;0.511434511434511;0.863465866466617;0.872;0.952009598080384;0.020249746878164;0.992;1;0.409882997261638;0.236762262229756
411520005070029;0.410043772764322;0.505454545454546;0.820675105485232;0.877969762419006;0.851851851851852;0.801080108010801;0;0.650623700623701;1;1;1;0;1;0.921847246891652;0.249688822504356;0.659510807334125
411520005070030;0.359500195445686;0.461818181818182;0.552742616033755;0.846112311015119;0.904320987654321;0.659090909090909;0;0.63004158004158;0.64291072768192;0.8788;1;0.0102936213297334;0.9758;0.170515097690941;0.343166542195668;0.539738032676129
411520005070031;0.228935652425591;0.683636363636364;0.399261603375527;0.979076673866091;0.802469135802469;0.943069306930693;0.00960061443932412;0.605301455301455;1;0.9596;1;0.0214309821127236;0.9543;0.888621878591579;0.181105302464526;0.230340114699633
411520005070032;0.387413338442779;0.549090909090909;0.691983122362869;0.744195464362851;0.657407407407407;0.887938793879388;0.0725806451612903;0.705509355509356;1;0.952;0.989802039592081;0.0666554168072899;0.9107;0.953296416257444;0.39780931043067;0.605883619584449
411520005080001;0.248582646637768;0.487272727272727;1;0.548461123110151;0.503086419753086;0.987848784878488;0.125192012288786;0.64968814968815;1;0.8912;1;0.155923050961863;0.9674;1;0.394573064475977;0.276897464521692
411520005080002;0.303759852440461;0.447272727272727;0.972573839662447;0.430480561555076;0.759259259259259;0.847659765976598;0.0199692780337942;0.584719334719335;1;0.7292;1;0.0350995612554843;0.9844;1;0.408389345282549;0.407650517381428
411520005080003;0.265763899832163;0.418181818181818;0.98048523206751;0.5789686825054;0.79320987654321;0.991674167416742;0.0430107526881721;0.622141372141372;1;0.9256;1;0.169422882213972;0.9405;1;0.542071197411003;0.317611764465702
411520005080004;0.297919875422505;0.450909090909091;0.931962025316456;0.709368250539957;0.743827160493827;0.912691269126913;0.21505376344086;0.851351351351351;1;0.9656;1;0.261896726290921;0.9914;1;0.570450585013692;0.393811563186122
411520005080005;0.384857779069291;0.327272727272727;0.976793248945148;0.426835853131749;0.762345679012346;0.96039603960396;0.304531490015361;0.718918918918919;0.722430607651913;0.63;1;0.549949375632805;0.8393;0.971998746212517;0.687079910380881;0.599827727753994
411520005080006;0.2842765459922;0.443636363636364;0.712552742616034;0.522408207343413;0.416666666666667;0.527227722772277;0;0.457068607068607;0.849962490622656;0.6264;1;0.00658116773540331;0.9767;0.99592519068018;0.286532237988549;0.36148105735075
